"";"word1";"word2";"n"
"409";"sociedade";"agradece";23
"410";"voce";"pode";23
"411";"770";"milhoes";22
"412";"aldir_blanc";"nesta";22
"413";"aldir_blanc";"voce";22
"414";"beneficiou";"artistas";22
"415";"carmen";"lucia";22
"416";"cultura";"esporte";22
"417";"dia";"19";22
"418";"dia";"20";22
"419";"fundamental";"importancia";22
"420";"incentivo";"lei";22
"421";"mostra";"online";22
"422";"obrigatoria";"contra";22
"423";"paulo";"cesar";22
"424";"sao";"luis";22
"425";"aldir_blanc";"inscricoes";21
"426";"aldir_blanc";"premio";21
"427";"aprovamos";"ano";21
"428";"boa";"noticia";21
"429";"cidades";"invistam";21
"430";"congresso";"precisa";21
"431";"cultura";"precisa";21
"432";"dia";"29";21
"433";"duas";"decisoes";21
"434";"festivalcaleidoscopio";"fc0821";21
"435";"importancia";"agora";21
"436";"lab";"lei";21
"437";"lancar";"edital";21
"438";"muita";"gente";21
"439";"paulo_gustavo";"cheguem";21
"440";"pl";"1518";21
"441";"pressao";"total";21
"442";"projeto";"executado";21
"443";"quatro";"edital";21
"444";"segunda";"etapa";21
"445";"sera";"transmitida";21
"446";"viva";"aldir_blanc";21
"447";"19";"aprovaleipaulogustavo";20
"448";"2020";"realizacao";20
"449";"3";"8";20
"450";"3";"mil";20
"451";"aldir_blanc";"14";20
"452";"aldir_blanc";"boo";20
"453";"aldir_blanc";"fja";20
"454";"aldir_blanc";"leirouanet";20
"455";"arte";"lei";20
"456";"auxilio";"aldir_blanc";20
"457";"brasil";"nao";20
"458";"cesar";"pinheiro";20
"459";"credenciamento";"sesc";20
"460";"cultura";"culturabrasileira";20
"461";"cultura";"derrubavetolei";20
"462";"cultura";"pedem";20
"463";"culturabrasileira";"culturapopular";20
"464";"dia";"17";20
"465";"dinheiro";"chegue";20
"466";"efeito";"deleterio";20
"467";"farofafa";"br";20
"468";"inciso";"ii";20
"469";"ira";"garantir";20
"470";"musica";"lei";20
"471";"nesse";"momento";20
"472";"nicete";"bruno";20
"473";"norte";"fundacao";20
"474";"pedem";"acesso";20
"475";"politica";"cultura";20
"476";"proac";"expresso";20
"477";"projeto";"financiado";20
"478";"proximo";"dia";20
"479";"quadros";"publicos";20
"480";"qualificacao";"cultura";20
"481";"realizacao";"chibe";20
"482";"vetos";"ira";20
"483";"1";"milhao";19
"484";"2021";"lancamento";19
"485";"9";"milhoes";19
"486";"aldir_blanc";"1";19
"487";"aldir_blanc";"acesse";19
"488";"aldir_blanc";"aprovada";19
"489";"aldir_blanc";"municipal";19
"490";"andreporci";"bolsonarosp";19
"491";"atencao";"artistas";19
"492";"cadeia";"produtiva";19
"493";"camara";"federal";19
"494";"culturaemfoco";"artesanato";19
"495";"derruba";"veto";19
"496";"dia";"15";19
"497";"dois";"projeto";19
"498";"elaborandoprojeto";"culturaemfoco";19
"499";"juventude";"ativa";19
"500";"leia";"lei";19
"501";"materia";"completa";19
"502";"mato";"grosso";19
"503";"politica";"publica";19
"504";"projeto";"lei";19
"505";"prorrogado";"prazo";19
"506";"proxima";"terca_feira";19
"507";"realiza";"live";19
"508";"rouanet";"2";19
"509";"tribunal";"derrubavetolei";19
"510";"turismo";"secretaria";19
"511";"via";"farofafa";19
"512";"12";"2021";18
"513";"2021";"panfleterobot";18
"514";"acontece";"nesta";18
"515";"aldir_blanc";"02";18
"516";"aldir_blanc";"ajuda";18
"517";"aldir_blanc";"governo";18
"518";"aldir_blanc";"prorrogalei";18
"519";"aldir_blanc";"vitoria";18
"520";"aprovacao";"imediata";18
"521";"arte";"aperipe";18
"522";"arte";"cultura";18
"523";"artistas";"produtores";18
"524";"bolsonaro";"sanciona";18
"525";"cidadebaixapoa";"lei";18
"526";"cultura";"abre";18
"527";"cultura";"artista";18
"528";"culturapopular";"arte";18
"529";"culturas";"populares";18
"530";"dia";"12";18
"531";"edital";"referentes";18
"532";"hip";"hop";18
"533";"jairbolsonaro";"mfriasoficial";18
"534";"joao";"candido";18
"535";"lancamento";"lei";18
"536";"leis";"aldir_blanc";18
"537";"leis";"paulo_gustavo";18
"538";"livros";"artes";18
"539";"mil";"artistas";18
"540";"nana";"caymmi";18
"541";"ponta";"derrubavetolei";18
"542";"prazo";"final";18
"543";"presidente";"jair";18
"544";"serao";"lancados";18
"545";"soscultura";"lei";18
"546";"tirar";"duvidas";18
"547";"ttttt";"livroterapia";18
"548";"000";"00";17
"549";"19h";"lei";17
"550";"20";"novos";17
"551";"26";"milhoes";17
"552";"400";"propostas";17
"553";"abjetos";"projeto";17
"554";"acao";"metajuridica";17
"555";"aldir_blanc";"aldir_blanc";17
"556";"aldir_blanc";"artistas";17
"557";"aldir_blanc";"grande";17
"558";"aldir_blanc";"morreu";17
"559";"aldir_blanc";"ne";17
"560";"aldir_blanc";"tripdosulpromundo";17
"561";"assembleia";"pr";17
"562";"assista";"completo";17
"563";"audio";"walacesf";17
"564";"clipe";"2021";17
"565";"completo";"envolvimentos";17
"566";"corte";"clipe";17
"567";"cultura";"criativa";17
"568";"cultura";"lanca";17
"569";"dia";"23";17
"570";"edital";"mauro";17
"571";"guilherme";"seleciona";17
"572";"manobras";"realizadas";17
"573";"mil";"postos";17
"574";"muita";"coisa";17
"575";"nesta";"terca";17
"576";"novo";"projeto";17
"577";"partir";"desta";17
"578";"pl";"paulo_gustavo";17
"579";"pradeuscuidar";"corte";17
"580";"producao";"audio";17
"581";"producao";"letra";17
"582";"producao";"visual";17
"583";"prorrogacao";"aprovada";17
"584";"quase";"400";17
"585";"quero";"saber";17
"586";"regina";"duarte";17
"587";"seleciona";"quase";17
